,fx_WS_mean,fx_USTAR_mean,fx_TA_mean,fx_TA_min,fx_TA_max,fx_VPD_mean,fx_SWIN_mean,fx_RN_mean,fx_PPFD_mean,fx_SWC_mean,fx_TS_mean,fx_SHF_mean,fx_PRECIP_sum,fx_wd_sin,fx_wd_cos,fx_SWC_lag7,fx_TS_lag7,fx_SWC_lag14,fx_TS_lag14,fx_SWC_lag21,fx_TS_lag21,fx_SWC_lag28,fx_TS_lag28,fx_SWC_roll7,fx_TS_roll7,fx_SWC_roll14,fx_TS_roll14,fx_DOY_sin,fx_DOY_cos,fx_is_growing,fx_is_winter,fx_lsu_dens,fx_grazing_active,fx_days_since_grazing,ar_ch4_dlag1,ar_ch4_dlag2,ar_ch4_dlag3,ar_ch4_dlag7,ar_ch4_dlag14,ar_ch4_drm7,ar_fc_dlag1
fx_WS_mean,1.0,0.6749336936950935,-0.10830738736702616,0.018510709469767135,-0.2372403199567487,0.028379918718009694,-0.2984481100404636,-0.23181484843150907,-0.248382414502922,0.1916982457229013,-0.1510957523147659,-0.041644632314797744,0.31247551868623186,-0.4137919782607384,-0.10685770200044545,0.13856069798906176,-0.1853481148649549,0.11374786143757347,-0.16212086135715004,0.10779619311681593,-0.14744168040447853,0.08461437851509916,-0.15916958610414594,0.1656436717864823,-0.17919620422500737,0.1475597590781977,-0.18493303325132143,0.07516535959944146,0.28458020462402034,-0.27542079482789783,0.25329786129415255,-0.13119133921042825,-0.1431455160140396,-0.09291180969144287,-0.04490828376643768,-0.05560875580843929,-0.05215040698384009,-0.058570653353384065,-0.05179702712363438,-0.06377979303881492,0.024920890071448654
fx_USTAR_mean,0.6749336936950935,1.0,-0.06737594311304118,0.026418112091648734,-0.16539761074343143,0.036956064573539005,-0.182272377114813,-0.14757615933213036,-0.18095464501219458,0.17332769508708995,-0.1381141039324066,-0.04905208989062967,0.3219807224633829,-0.25922724471948905,-0.13475690151186973,0.12985240572591247,-0.1710082790855565,0.11039541447892882,-0.15788000050745102,0.12041937791432132,-0.16564624455681137,0.10617851898679768,-0.17146610281881633,0.15068030048155187,-0.1643361371767649,0.13607742479716353,-0.16878475026746473,0.08230030334577439,0.1526901040397159,-0.16641349598110577,0.15213899582690166,-0.09868631755389297,-0.12576936357582674,-0.10324260420829737,0.008375205749519159,-0.014643683383859287,-0.012217282255832811,-0.022488356247434494,-0.022310656354149454,-0.012882431311441062,0.016576968372433023
fx_TA_mean,-0.10830738736702616,-0.06737594311304118,1.0,0.9364976783779116,0.9600135331963306,0.34939428931009314,0.5611336098369083,0.5581868325284535,0.48115955937050564,-0.4806959486301541,0.7416536019648388,0.16311241312883,-0.07279390558044876,-0.040936674620501295,-0.10949258820279656,-0.47188413432955617,0.6364150619101984,-0.4607947643576705,0.6125719954209404,-0.44291155212429856,0.5939585234150359,-0.4297372100957776,0.5521437330981075,-0.48244832977348595,0.6922840480001097,-0.4856263113381747,0.673382054647239,-0.36882609898906893,-0.7340698505746094,0.6459880178734106,-0.5443453198253335,0.3575359077876037,0.35308610189333745,0.26892557962522207,0.2198102979557222,0.21708867311954097,0.2198851174759547,0.22001316654340602,0.2116362926991397,0.2717788876734898,0.0871049561851579
fx_TA_min,0.018510709469767135,0.026418112091648734,0.9364976783779116,1.0,0.8227261773881565,0.33299556240078027,0.346399226593817,0.4031331563238357,0.3005479973177238,-0.4013209925749064,0.6945379023327963,0.14541903413034107,-0.008551681193325758,-0.1300487512228604,-0.12799458908338768,-0.4209869426529007,0.5917659170719041,-0.4216180730464799,0.5796159528467183,-0.41378510243751554,0.5726865948935018,-0.41050018551943734,0.53613302818061,-0.4172710736428956,0.6416150607388733,-0.4292191407742865,0.6268003658429188,-0.43439304700500553,-0.6156805786486627,0.5326558350480959,-0.47041419577416105,0.31795847215122824,0.31771048155473935,0.2581513427049367,0.19343888078814359,0.19013715816159485,0.1960210736756496,0.1987113558827202,0.18881658715023195,0.2412858715040432,0.17502275468412404
fx_TA_max,-0.2372403199567487,-0.16539761074343143,0.9600135331963306,0.8227261773881565,1.0,0.32768657833386916,0.6946656024604313,0.6340849550047585,0.588478653303924,-0.5019063105324134,0.7201526983624128,0.16699463723422917,-0.12657838125792487,0.040912124091148805,-0.08061548677759271,-0.47226298611863304,0.6225495152947524,-0.45355477594436416,0.5911317601109235,-0.43062331962132955,0.5641266119014164,-0.41110937289500676,0.5221838773379067,-0.492613363038725,0.6783203534606058,-0.48885303743194997,0.6579382940082135,-0.28953655657053257,-0.7726892660440652,0.6871836400849572,-0.5700302644413203,0.3630257978310379,0.35596062447747273,0.2594734458720828,0.2278111981680366,0.2268987568849923,0.22632898347766825,0.22400670882265733,0.21588524678847995,0.2795827191357509,0.017088714302485215
fx_VPD_mean,0.028379918718009694,0.036956064573539005,0.34939428931009314,0.33299556240078027,0.32768657833386916,1.0,0.18296940326098665,0.2754085211811958,0.25002641754705723,-0.15880890168387035,0.32552691157611385,0.09535403206134188,0.049424808921087644,-0.024483408761394414,-0.08007032787248534,-0.16270625976419512,0.2960483320303306,-0.17424874982192254,0.29654234433341475,-0.17425358264302918,0.2880769597720594,-0.19087422094548087,0.2816254642324893,-0.16043521426591034,0.3100742081659061,-0.16727747022085904,0.3085960657521088,-0.19059214811278244,-0.2172157988259399,0.19066243265416025,-0.19285607870160254,0.19650689202003085,0.26164507582916974,0.23051472579634402,0.11795884791940824,0.11507872050852354,0.11956180622525353,0.12032241898695596,0.12442132500762738,0.14934336184995803,0.09625344610889458
fx_SWIN_mean,-0.2984481100404636,-0.182272377114813,0.5611336098369083,0.346399226593817,0.6946656024604313,0.18296940326098665,1.0,0.7801218787699564,0.8102835319525097,-0.40093088472440996,0.46643693628814953,0.13331590024123782,-0.2513483748747069,0.11079938220132118,0.10538002744071867,-0.33725590892861346,0.40451342580890337,-0.30378031711919334,0.3437871538694261,-0.26048055657036506,0.2879039475224785,-0.2244793849140215,0.22572586813590378,-0.3732392627073138,0.4505085097176402,-0.3553031645895782,0.4264946585893846,0.17011165028090272,-0.7791614803083107,0.7082517566672114,-0.521378351391577,0.2894598290512904,0.2510829334318982,0.13832606508908082,0.1866110181748885,0.1811819648795701,0.18207917900355955,0.165696925434503,0.1723816423998643,0.21951551779144085,-0.23488756154421359
fx_RN_mean,-0.23181484843150907,-0.14757615933213036,0.5581868325284535,0.4031331563238357,0.6340849550047585,0.2754085211811958,0.7801218787699564,1.0,0.9595013038540189,-0.42786303181176094,0.5260412306163356,0.17439489078524567,-0.19427984862293232,0.06404426660162738,0.09000848654866213,-0.37403072774950546,0.4530259814671741,-0.3412829345977148,0.39798396714541967,-0.3071841730646423,0.33827304610037723,-0.27809641380446765,0.27011676361632186,-0.4082958094162451,0.5014397616853793,-0.39211786133132387,0.47789894359091195,0.1026735540131906,-0.692047593171842,0.6333116381583618,-0.45031122978828375,0.30024885922093925,0.2868375183238142,0.18668797438141357,0.20166544995188812,0.20177404888992048,0.20534417987437523,0.19459128639074416,0.19734006512841312,0.24766176546877208,-0.1959205865490054
fx_PPFD_mean,-0.248382414502922,-0.18095464501219458,0.48115955937050564,0.3005479973177238,0.588478653303924,0.25002641754705723,0.8102835319525097,0.9595013038540189,1.0,-0.40816712059913224,0.47020190800785594,0.1590945212517865,-0.2271955761586652,0.10073649614777765,0.09792099073353355,-0.34521055562723757,0.4064584863645477,-0.31220406210365076,0.3472687568643653,-0.27829017036654824,0.29596335185475436,-0.25017035356933653,0.23923754723673424,-0.382876430319515,0.4539171039908221,-0.36408005411405603,0.4291957005615455,0.12482716296967804,-0.6318103530762323,0.58186384094324,-0.41591663129339385,0.27758841290373626,0.278775491905763,0.18307451772246602,0.1947883904740401,0.19222372853234088,0.1935576793872507,0.18221627547658073,0.18550188126340425,0.23579482083107184,-0.2173547669363468
fx_SWC_mean,0.1916982457229013,0.17332769508708995,-0.4806959486301541,-0.4013209925749064,-0.5019063105324134,-0.15880890168387035,-0.40093088472440996,-0.42786303181176094,-0.40816712059913224,1.0,-0.6702319035640806,-0.18776303431224461,0.1013224433216405,-0.011020488661595598,-0.050742229173086933,0.9203527748204249,-0.6359161610562929,0.8491229832929702,-0.5981308110156371,0.7831930357552751,-0.5601170900933694,0.7183178774851482,-0.523910380661108,0.978655977564357,-0.6668373494511367,0.952820036182531,-0.6577042033682688,0.15606148098484945,0.49631232711324574,-0.4459662469502841,0.3205073217004479,-0.21780817445292971,-0.29408699620016693,-0.3156095434339509,-0.1599011069262455,-0.1625107657856835,-0.1631997734640192,-0.16736593410228415,-0.17376342757554022,-0.2023100851538831,-0.03812145542166004
